Tabelle 1
Bezeichnung;Erscheinungsjahr;Anzahl;Gewicht in Gramm;Einkaufspreis Typ:Gold;Einkaufspreis Typ:Silber;Gesamt Einkaufswert;Münzwert 11.05.23;;;
Einkaufspreise gesamt;;;;;;2859,63;;;;
;;;;;;;;;;
Perth Mint Lunar 2 Hahn farbig;2017;2;31,1034768;;20,26;40,52;;;;
Kangoroo;2020;8;31,1034768;;26,46;211,68;;;;
Perth mit ? Lunar 2 Hund farbig ;2018;1;31,1034768;;32;32;;;;
Perth Mint Lunar 2 Pferde farbig;2014;1;31,1034768;;28;28;;;;
Perth Mint Lunar 2 Monkey King farbig;2016;1;31,1034768;;24,9;24,9;;;;
Perth Mint Lunar 2 Affe farbig;2016;1;31,1034768;;27;27;33;;;
Somalia Elefant farbig;2018;1;31,1034768;;32;32;35,59;;;
Darth Vader 2017;2017;1;31,1034768;;18,99;18,99;;;;
Storm Trooper 2017;2017;1;31,1034768;;18,97;18,97;;;;
Perth Mint Lunar 2 Schwein;2019;1;31,1034768;;19;19;;;;
2 OZ Perth mint mouse farbig;2020;1;62,2069536;;63,18;63,18;;;;
1/2 OZ Perth mint mouse farbig;2020;1;14,17475;;18,01;18,01;;;;
Perth Mint Lunar 2 Oxe farbig;2021;1;31,1034768;;52;52;;;;
Perth Mint Lunar 2 Tiger farbig;2022;1;31,1034768;;52;52;;;;
Perth Mint Lunar 2 Hase farbig;2023;1;31,1034768;;42;42;;;;
;;;;;;;;;;
1OZ= 31,1034768;;;;;;;;;;
Degussa Barren;;1;2,5;80;;80;;;;
Australian Kangaroo 1/10OZ;;1;2,83495;100;;100;;;;
Panda 2013 1/4 OZ;;1;7,0873;326;;326;;;;
Panda 2018 1g;;1;1;47,68;;47,68;;;;
Panda 2017 1g;;1;1;45;;45;;;;
Panda 2016 1g;;1;1;49,7;;49,7;;;;
Ulm 2 1/2OZ;;1;14,17475;1266;;1266;;;;
Umicore 2,5g;;1;2,5;120;;120;;;;
Somalia Elefant 1/25 OZ;;1;1,13398;60;;60;;;;
Panda 2023 1g;;1;1;85;;85;;;;
